STRUC_Easting,STRUC_Northing,STRUC_Elevation,Leapfrog Dip,Leapfrog Dip Direction,Mute Flag
9370.44,5921.05,3788.3,28.429,75.395,M
9370.2,5920.95,3786.62,31.593,73.304,M
9369.84,5920.81,3784.11,35.81,70.215,M
9369.71,5920.76,3783.27,38.852,63.839,1
9369.06,5920.49,3778.72,43.796,80.368,1
9367.9,5920.02,3770.97,38.836,84.903,M
9367.72,5919.95,3769.79,39.312,73.866,3
9367.46,5919.85,3768.16,34.318,75.89,3
9367.17,5919.73,3766.29,34.182,81.189,M
9366.76,5919.58,3763.72,34.53,73.795,1
9366.48,5919.47,3761.95,34.25,83.372,3
9365.54,5919.1,3755.98,35.076,67.269,M
9365.01,5918.88,3752.68,40.275,70.844,M
9364.86,5918.82,3751.85,40.32,63.827,1
9356.13,5915.09,3709.62,44.175,59.543,M
9354.9,5914.56,3704.44,34.326,60.654,3
9354.42,5914.35,3702.46,44.351,73.835,3
9354.37,5914.33,3702.21,49.473,62.929,3
9354.15,5914.23,3701.29,38.707,82.655,1
9386.63,5843.7,3914.79,42.508,65.987,1
9332.35,5837.31,3802.94,34.777,72.466,1
9331.56,5837.21,3801.33,37.279,69.598,1
9330.38,5837.05,3798.9,35.034,80.327,3
9320.5,5835.8,3778.51,40.405,57.165,3
9320,5835.74,3777.47,34.175,62.848,M
9317.93,5835.49,3773.2,37.594,72.659,M
9315.95,5835.26,3769.06,37.737,100.82,M
9315.07,5835.16,3767.21,42.67,84.346,1
9282.33,5775.48,3886.67,34.659,67.435,M
9281.85,5775.36,3886.43,34.644,85.01,3
9278.23,5774.47,3884.61,33.831,76.284,3
9275.17,5773.72,3883.07,35.484,90.069,M
9266.3,5771.59,3878.52,47.14,82.405,M
9264.82,5771.23,3877.76,48.564,79.26,3
9261.08,5770.34,3875.83,34.421,104.017,M
9259.73,5770.01,3875.14,32.963,91.217,1
9258.13,5769.63,3874.31,48.748,108.734,M
9400.7,5804.53,3937.87,29.876,49.16,3
9386.9,5799.86,3924.34,32.317,66.524,1
9377.84,5796.81,3915.39,39.602,40.807,3
9370.15,5794.23,3907.8,43.964,92.168,M
9365.39,5792.62,3903.06,45.8,57.6,M
9353.15,5788.52,3890.86,46.52,71.58,1
9328.56,5780.39,3866.09,36.723,66.273,M
9321.63,5778.15,3859.03,45.174,51.1,3
9318.25,5777.06,3855.58,49.138,59.423,M
9313.74,5775.63,3850.98,52.175,97.576,3
9307.47,5773.64,3844.55,35.815,69.539,M
9304.6,5772.73,3841.62,33.254,58.922,3
9296.03,5770.07,3832.78,45.391,58.77,M
9289.63,5768.09,3826.18,40.399,73.281,M
9287.55,5767.48,3824.04,45.404,101.657,M
9287.5,5767.46,3823.99,53.36,49.116,M
9284.64,5766.63,3821.05,49.742,93.14,M
9282.42,5765.99,3818.77,39.613,53.201,M
9399.17,5799.46,3935.46,39.968,33.982,3
9389.16,5790.39,3924.67,41.576,21.078,3
9387.82,5789.24,3923.24,42.125,24.116,3
9386.32,5787.94,3921.64,48.912,30.95,M
9384.32,5786.23,3919.52,52.324,10.814,1
9370.38,5774.32,3904.65,54.828,31.405,1
9360.3,5765.68,3893.73,36.228,26.266,M
9357.12,5762.94,3890.26,58.514,20.074,3
9352.73,5759.17,3885.45,23.994,32.014,1
9345.59,5753.07,3877.6,83.519,61.345,3
9337.54,5746.45,3868.85,56.349,34.084,M
9333.62,5743.31,3864.62,50.171,31.724,M
9332.03,5742.04,3862.9,38.71,2.668,1
9329.82,5740.27,3860.51,48.769,11.458,M
9328.19,5738.98,3858.73,41.567,17.964,1
9323.66,5735.37,3853.79,38.539,7.424,3
9322.93,5734.79,3852.99,39.336,18.526,M
9321.7,5733.81,3851.65,57.984,67.031,3
9315.7,5729.11,3845.1,31.928,17.262,1
9314.24,5727.98,3843.5,38.723,27.379,3
9309.3,5724.14,3838.11,31.533,31.657,M
9302.45,5718.99,3830.65,44.546,41.037,3
9301.81,5718.52,3829.96,51.219,51.015,M
9299.08,5716.53,3827,32.689,35.334,1
9369.89,5801.38,3854.9,44.784,58.789,1
9365.04,5800.65,3843.24,42.835,82.194,M
9364.7,5800.6,3842.41,47.799,84.013,M
9363.45,5800.4,3839.41,54.264,54.059,1
9362.22,5800.2,3836.46,42.881,81.487,M
9361.18,5800.04,3833.98,47.128,69.535,M
9360.37,5799.91,3832.04,42.542,88.448,3
9359.43,5799.76,3829.79,42.789,85.976,3
9358.26,5799.57,3826.98,44.095,347.147,M
9355.78,5799.18,3821.09,38.059,83.193,M
